PassengerId,Survived,Pclass,Sex,Age,Fare,Title_Sort_elite,Title_Sort_married,Title_Sort_not_married,Title_Sort_unknown,Familysize,Embarked_C,Embarked_Q,Embarked_S
1,0,3,1,22.0,7.25,False,False,False,True,2,False,False,True
2,1,1,0,38.0,71.2833,False,True,False,False,2,True,False,False
3,1,3,0,26.0,7.925,False,False,True,False,1,False,False,True
4,1,1,0,35.0,53.1,False,True,False,False,2,False,False,True
5,0,3,1,35.0,8.05,False,False,False,True,1,False,False,True
6,0,3,1,24.0,8.4583,False,False,False,True,1,False,True,False
7,0,1,1,54.0,51.8625,False,False,False,True,1,False,False,True
8,0,3,1,2.0,21.075,True,False,False,False,5,False,False,True
9,1,3,0,27.0,11.1333,False,True,False,False,3,False,False,True
10,1,2,0,14.0,30.0708,False,True,False,False,2,True,False,False
11,1,3,0,4.0,16.7,False,False,True,False,3,False,False,True
12,1,1,0,58.0,26.55,False,False,True,False,1,False,False,True
13,0,3,1,20.0,8.05,False,False,False,True,1,False,False,True
14,0,3,1,39.0,31.275,False,False,False,True,7,False,False,True
15,0,3,0,14.0,7.8542,False,False,True,False,1,False,False,True
16,1,2,0,55.0,16.0,False,True,False,False,1,False,False,True
17,0,3,1,2.0,29.125,True,False,False,False,6,False,True,False
18,1,2,1,29.0,13.0,False,False,False,True,1,False,False,True
19,0,3,0,31.0,18.0,False,True,False,False,2,False,False,True
20,1,3,0,24.0,7.225,False,True,False,False,1,True,False,False
21,0,2,1,35.0,26.0,False,False,False,True,1,False,False,True
22,1,2,1,34.0,13.0,False,False,False,True,1,False,False,True
23,1,3,0,15.0,8.0292,False,False,True,False,1,False,True,False
24,1,1,1,28.0,35.5,False,False,False,True,1,False,False,True
25,0,3,0,8.0,21.075,False,False,True,False,5,False,False,True
26,1,3,0,38.0,31.3875,False,True,False,False,7,False,False,True
27,0,3,1,24.0,7.225,False,False,False,True,1,True,False,False
28,0,1,1,19.0,263.0,False,False,False,True,6,False,False,True
29,1,3,0,24.0,7.8792,False,False,True,False,1,False,True,False
30,0,3,1,24.0,7.8958,False,False,False,True,1,False,False,True
31,0,1,1,40.0,27.7208,True,False,False,False,1,True,False,False
32,1,1,0,37.0,146.5208,False,True,False,False,2,True,False,False
33,1,3,0,24.0,7.75,False,False,True,False,1,False,True,False
34,0,2,1,66.0,10.5,False,False,False,True,1,False,False,True
35,0,1,1,28.0,82.1708,False,False,False,True,2,True,False,False
36,0,1,1,42.0,52.0,False,False,False,True,2,False,False,True
37,1,3,1,24.0,7.2292,False,False,False,True,1,True,False,False
38,0,3,1,21.0,8.05,False,False,False,True,1,False,False,True
39,0,3,0,18.0,18.0,False,False,True,False,3,False,False,True
40,1,3,0,14.0,11.2417,False,False,True,False,2,True,False,False
41,0,3,0,40.0,9.475,False,True,False,False,2,False,False,True
42,0,2,0,27.0,21.0,False,True,False,False,2,False,False,True
43,0,3,1,24.0,7.8958,False,False,False,True,1,True,False,False
